data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5590925,360,IDN520,520,"31 January 2019",2019,1,Battles,"Armed clash","TPNPB: West Papua National Liberation Army",,2,12,"South-Eastern Asia",Indonesia,Papua,Nduga,Mapenduma,Mapenduma,-4.3887,138.234,1,"Jakarta Post",National,"On January 31, 2019, in Mapenduma village (Nduga, Papua), Indonesian Military (TNI) engaged in a gunfight with Papuan separatists, likely to be West Papua National Liberation Army members. One soldier suffered a gunshot wound.",0,1563366749,IDN
5590925,360,IDN520,520,"31 January 2019",2019,1,Battles,"Armed clash","Military Forces of Indonesia (2014-)",,1,12,"South-Eastern Asia",Indonesia,Papua,Nduga,Mapenduma,Mapenduma,-4.3887,138.234,1,"Jakarta Post",National,"On January 31, 2019, in Mapenduma village (Nduga, Papua), Indonesian Military (TNI) engaged in a gunfight with Papuan separatists, likely to be West Papua National Liberation Army members. One soldier suffered a gunshot wound.",0,1563366749,IDN
6301918,360,IDN526,526,"31 January 2019",2019,1,"Violence against civilians",Attack,"Police Forces of Indonesia (2014-)",,1,17,"South-Eastern Asia",Indonesia,Papua,Jayawijaya,Wamena,Wamena,-4.0951,138.9449,1,"Pattaya One",Regional,"On 31 January 2019, a Polish man in the police detention center in Wamena town (Kabupaten Jayawijaya, West Papua) was visited by men wearing T-shirts with ""Brimob"" (short name for Indonesia's paramilitary police) and assaulted and threatened with death by them while the prison guards watched. The Polish man is awaiting trial for treason for meeting with Papuan independence supporters.",0,1572403769,IDN
6301918,360,IDN526,526,"31 January 2019",2019,1,"Violence against civilians",Attack,"Civilians (Poland)","Prisoners (Poland)",7,17,"South-Eastern Asia",Indonesia,Papua,Jayawijaya,Wamena,Wamena,-4.0951,138.9449,1,"Pattaya One",Regional,"On 31 January 2019, a Polish man in the police detention center in Wamena town (Kabupaten Jayawijaya, West Papua) was visited by men wearing T-shirts with ""Brimob"" (short name for Indonesia's paramilitary police) and assaulted and threatened with death by them while the prison guards watched. The Polish man is awaiting trial for treason for meeting with Papuan independence supporters.",0,1572403769,IDN
5590924,360,IDN519,519,"30 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Indonesia)",,6,60,"South-Eastern Asia",Indonesia,Jakarta,"South Jakarta",Cilandak,"Lebak Bulus",-6.3037,106.78,1,"Jakarta Post",National,"On January 30, 2019, in Lebak Bulus village of Cilandak subdistrict (South Jakarta, Jakarta), dozens of residents staged a protest in front of the MRT train depot demanding the city administration compensate them for their land on which the train depot stands.",0,1563366749,IDN
6712526,360,IDN3414,3414,"30 January 2019",2019,1,Riots,"Violent demonstration","Rioters (Indonesia)","Students (Indonesia)",5,15,"South-Eastern Asia",Indonesia,Banten,Tangerang,Tangerang,Tangerang,-6.1765,106.5799,1,Tribunnews,National,"On Jan 30, 2019, dozens of students held a demonstration in Tangerang city, Banten province, demanding free public healthcare in Tangerang. They burned a tire and clashed with the police. Seven people got injured. [size=dozens]",0,1578511387,IDN
6712526,360,IDN3414,3414,"30 January 2019",2019,1,Riots,"Violent demonstration","Police Forces of Indonesia (2014-)",,1,15,"South-Eastern Asia",Indonesia,Banten,Tangerang,Tangerang,Tangerang,-6.1765,106.5799,1,Tribunnews,National,"On Jan 30, 2019, dozens of students held a demonstration in Tangerang city, Banten province, demanding free public healthcare in Tangerang. They burned a tire and clashed with the police. Seven people got injured. [size=dozens]",0,1578511387,IDN
6301917,360,IDN525,525,"30 January 2019",2019,1,"Violence against civilians",Attack,"Police Forces of Indonesia (2014-)",,1,17,"South-Eastern Asia",Indonesia,Papua,Jayawijaya,Wamena,Wamena,-4.0951,138.9449,1,"Pattaya One",Regional,"On 30 January 2019, a Polish man in the police detention center in Wamena town (Kabupaten Jayawijaya, West Papua) was visited by men wearing T-shirts with ""Brimob"" (short name for Indonesia's paramilitary police) and assaulted and threatened with death by them while the prison guards watched. The Polish man is awaiting trial for treason for meeting with Papuan independence supporters.",0,1572403769,IDN
6301917,360,IDN525,525,"30 January 2019",2019,1,"Violence against civilians",Attack,"Civilians (Poland)","Prisoners (Poland)",7,17,"South-Eastern Asia",Indonesia,Papua,Jayawijaya,Wamena,Wamena,-4.0951,138.9449,1,"Pattaya One",Regional,"On 30 January 2019, a Polish man in the police detention center in Wamena town (Kabupaten Jayawijaya, West Papua) was visited by men wearing T-shirts with ""Brimob"" (short name for Indonesia's paramilitary police) and assaulted and threatened with death by them while the prison guards watched. The Polish man is awaiting trial for treason for meeting with Papuan independence supporters.",0,1572403769,IDN
6712524,360,IDN3412,3412,"29 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Indonesia)",,6,60,"South-Eastern Asia",Indonesia,"East Java",Tuban,Tuban,Tuban,-6.8976,112.065,1,Tribunnews,National,"On Jan 29, 2019, thousands of villagers held a peaceful protest in Tuban district, Tuban regency, East Java province, opposing the construction of oil refinery in their villages. [size=thousands]",0,1578511387,IDN
